"gene_id","gene_symbol","logFC.Early_vs_Thin","logFC.Early_vs_Mature","logFC.Thin_vs_Mature","logCPM","PValue","FDR","F"
"YLR427W","MAG2",-0.100962499758549,0.471250434263172,0.572212934021721,3.27984422107824,0.00866734249914869,0.0149856197516776,7.30311621051722
"YKL161C","KDX1",1.19965986818943,0.181849095316263,-1.01781077287317,0.880954255217875,0.00867762041299743,0.0149982833414571,7.30744322371427
"YAL058W","CNE1",1.39560252657948,0.226889216350013,-1.16871331022946,1.20192935753445,0.0087074977491652,0.0150448021674926,7.29741149845506
"YNL118C","DCP2",-0.313417348727423,0.443258599020065,0.756675947747487,4.41062760814362,0.0087373232684662,0.015091199849412,7.28492776738505
"YJR057W","CDC8",0.52507331212362,-0.126499903796493,-0.651573215920113,1.80431375365706,0.00878253763708983,0.0151641367293921,7.27451296079217
"YCR066W","RAD18",1.16384616248268,0.542515300420008,-0.621330862062673,0.889629396459933,0.00879390318005717,0.0151785997105134,7.27647847900206
"YLR290C","COQ11",-0.311278771445396,0.284148256108132,0.595427027553528,3.2626082157129,0.00881359215856933,0.0152074145366004,7.2656650039086
"YHL004W","MRP4",-0.592981949561828,-0.590595023752516,0.00238692580931189,2.99361422698652,0.00883756037223693,0.0152435908866233,7.25966570323966
"YOR362C","PRE10",-0.530765206397789,-0.352910192156469,0.177855014241319,4.54270864500852,0.00885910821560959,0.0152747102773243,7.25399048429219
"YDL147W","RPN5",-0.674232610590269,-0.223309898851714,0.450922711738556,5.73760823493732,0.00886389439293694,0.0152747102773243,7.2527555976613
"YHR024C","MAS2",0.0833978935832225,-0.746551244615,-0.829949138198222,2.70272188377432,0.00886462607075124,0.0152747102773243,7.25299563536713
"YHR044C","DOG1",-0.414869726895485,-0.843222967166368,-0.428353240270883,3.37735954867162,0.00890510934520404,0.01533926229815,7.24260754325082
"YMR003W","AIM34",-1.10025808728746,-0.330605583336835,0.769652503950622,0.844830637910377,0.00896187414258759,0.0154318063397965,7.23258505870427
"YOL089C","HAL9",0.665345894291171,0.230958577787464,-0.434387316503707,3.19112343996967,0.00900413079920055,0.0154962104522321,7.21798654431623
"YBR272C","HSM3",0.799273495147173,0.472687514380336,-0.326585980766837,2.24727244952897,0.00900822116326626,0.0154962104522321,7.21744557067611
"YGL225W","VRG4",0.445964940014544,-0.645514534070105,-1.09147947408465,4.07488275142511,0.00900843112544094,0.0154962104522321,7.21680798148423
"YMR024W","MRPL3",0.26919844988809,-0.499363542092975,-0.768561991981065,3.04931925327597,0.00903619614742792,0.015538707767233,7.21011413994201
"YDL217C","TIM22",0.995679445036839,-0.431740176348178,-1.42741962138502,0.697046254948256,0.0090714372971874,0.0155940279604325,7.21234112980357
"YMR130W","DPI35",0.582741980338184,-0.236618128025088,-0.819360108363272,1.79577348116284,0.00908069409472305,0.0156046580754665,7.20012578981992
"YLR363C","NMD4",1.06289088553639,-0.0151277831868115,-1.0780186687232,1.11818415703514,0.00908747586670103,0.0156110292459769,7.20161733947572
"YDL203C","ACK1",0.691979215168119,0.558111406845114,-0.133867808323005,2.00978336614159,0.00909175962721932,0.0156131063195873,7.1970973315061
"YGR249W","MGA1",0.260510922070099,0.664166944870321,0.403656022800222,2.70795124476908,0.00910656195330462,0.0156332392153079,7.19296689329643
"YKL112W","ABF1",-0.165257384354944,0.488621956565084,0.653879340920028,3.55557047581468,0.00911225198498929,0.0156377207096234,7.19135827180344
"YPR016C","TIF6",0.932916494228325,-0.00743930904634117,-0.940355803274666,3.70781630916179,0.00912794053526063,0.0156593520398829,7.18753692533554
"YMR269W","TMA23",-1.75544888387278,-0.621869021978197,1.13357986189458,1.84512173805132,0.00919645943831563,0.0157715707625014,7.17216464926306
"YGR133W","PEX4",0.965094807459169,0.231149595002466,-0.733945212456704,1.26168287123585,0.0092106122464748,0.0157905094488856,7.17016409988376
"YMR062C","ARG7",-0.600998950535814,-0.559459988845246,0.0415389616905676,3.44319927716507,0.00922528506628588,0.015807811421833,7.16401789745156
"YPR168W","NUT2",-0.91885894395411,-0.495174979211659,0.42368396474245,0.929968110405443,0.00922693049513842,0.015807811421833,7.16683306265146
"YGL155W","CDC43",0.968761026767878,0.560613190822248,-0.408147835945629,1.18878210794826,0.00924615811779427,0.0158354100917907,7.16178854121277
"YPR175W","DPB2",-0.646170764129218,-0.789031381463986,-0.142860617334768,1.3081618276479,0.00925461565102881,0.015844551003346,7.15875801513667
"YKR072C","SIS2",-0.250359363816022,0.60191344717095,0.852272810986972,3.7672927058564,0.00927129855480248,0.0158677230260172,7.15293807322556
"YOR270C","VPH1",0.953556466811239,0.30090502282219,-0.65265144398905,6.02348536709469,0.00927439975211087,0.0158677230260172,7.15206394948229
"YBR128C","ATG14",0.038423146985655,0.73860455145296,0.700181404467305,2.05726305760063,0.00928625096150159,0.0158826481584726,7.15003628026327
"YGR100W","MDR1",0.685613946704404,0.13446913212935,-0.551144814575054,3.59386100731052,0.00930560194884467,0.0159103860930078,7.14478645687233
"YDL224C","WHI4",0.673820789019143,0.915442876989265,0.241622087970123,1.9693962071447,0.00931970250323832,0.0159291313737611,7.14224643457746
"YMR055C","BUB2",0.798760243582144,0.621024737501542,-0.177735506080602,1.00409537110122,0.00934009985834307,0.0159561081620609,7.14006257636469
"YIL110W","HPM1",0.15761708998311,-0.479528699393668,-0.637145789376778,1.82750377423982,0.00934177029653547,0.0159561081620609,7.13708243839996
"YMR061W","RNA14",-0.749952056175191,-0.509475436820816,0.240476619354375,3.19039762772675,0.00935468501734724,0.0159727943907496,7.13319176170168
"YER024W","YAT2",-0.403610418996356,-0.718631374912021,-0.315020955915665,3.54185209026939,0.00937088073039209,0.0159950696971197,7.12929317210291
"YNCP0025W","SUT390",0.306293364617837,1.00936337397115,0.70307000935331,0.807895962584713,0.00938144968181789,0.0160077289933707,7.13222267659204
"YMR068W","AVO2",-0.420868094443357,0.447617398380083,0.86848549282344,1.80776422583342,0.00938775990757363,0.0160131154889684,7.12622703821475
"YJR064W","CCT5",0.0831409078436873,-0.623695522744748,-0.706836430588435,3.60600035756736,0.00940576189900522,0.0160384348298014,7.12106702651757
"YDL103C","QRI1",-0.0546059271123795,-0.601651645694878,-0.547045718582499,2.23175892111422,0.00945552843832059,0.0161129075129593,7.10988045540094
"YJR044C","VPS55",0.335462958862955,-0.367388015110271,-0.702850973973226,2.8999324967904,0.00945578266810138,0.0161129075129593,7.10952217141777
"YBL002W","HTB2",0.0412424103922886,-0.620945034469563,-0.662187444861851,5.23460962764307,0.00946146500529403,0.0161151363043831,7.10789672749207
"YPL067C","HTC1",-1.4725732394554,-0.433973295429643,1.03859994402576,0.581481817791693,0.00946580984445986,0.0161151363043831,7.11531417588133
"YMR008C","PLB1",0.770961545071146,-0.0714913612398897,-0.842452906311036,4.07906360749577,0.00946661118471343,0.0161151363043831,7.10678589507105
"YGR080W","TWF1",0.718659612104219,0.304048535831049,-0.41461107627317,2.96486707949934,0.00948080261576291,0.0161328785263089,7.103665047414
"YDR371W","CTS2",0.814384967047824,0.664943616928277,-0.149441350119547,1.80571939178745,0.00948338763312957,0.0161328785263089,7.10394760278537
"YNR024W","MPP6",-1.68465615528757,-0.725408634132359,0.959247521155208,2.56546674828506,0.00948838490957664,0.0161352261225463,7.10216406832587
"YPR109W","GLD1",-0.192690431877916,-0.534709318688021,-0.342018886810106,3.28559572411832,0.00949112257346312,0.0161352261225463,7.10118714988703
"YOR152C","ATG40",-0.545467892705006,0.0896309823162955,0.635098875021301,2.70993274279673,0.00953078590526002,0.0161972325391266,7.09213570280594
"YNR038W","DBP6",0.824781191283242,0.393026654227407,-0.431754537055834,2.03809604137907,0.00953416188910286,0.0161975490374253,7.09189603399158
