"gene_id","gene_symbol","logFC","logCPM","PValue","FDR","F"
"YMR066W","SOV1",0.30418942012497,2.76568776792945,0.0622868953814957,0.102128787454709,4.24142084067729
"YCL005W","VMA9",0.501606685864907,1.27608346305657,0.0623760550656384,0.102241965017208,4.23856852011335
"YLR173W","TAG1",0.594992830398584,2.6612569001799,0.0625066992428909,0.102423045742304,4.23319419184245
"YGR068C","ART5",0.470267570383661,0.904339581976479,0.0626432315135363,0.10261365471798,4.22910826953078
"YOL017W","ESC8",-0.462034022602625,1.47310572563529,0.0626981736014693,0.102670533875608,4.2263260731828
"YBR047W","FMP23",-0.380943987473631,3.725661992399,0.0627493490830331,0.102721210394469,4.22404110379405
"YGL137W","SEC27",-0.347252083018096,4.38654660433208,0.0627905839257576,0.102755586585561,4.22248472207977
"YGL163C","RAD54",-0.285333277642212,4.40875482097476,0.0631931702139194,0.103381094828055,4.20755411089901
"YNL133C","FYV6",-0.897884000723924,3.27777338609863,0.0633813483474247,0.103655551339202,4.200643100283
"YNL230C","ELA1",0.475521452878056,1.75720227118232,0.0635026363277428,0.103820472399317,4.19642421224721
"YOR063W","RPL3",-0.284912797813141,4.84744859971863,0.0635542385412113,0.10387139469336,4.19423043408332
"YKL056C","TMA19",-0.425321886395682,5.55604158740004,0.0637482558285346,0.104154968821525,4.18711982922986
"YHR041C","SRB2",-0.41368747458088,1.46092106823117,0.0637954943199717,0.104198623401999,4.18579136281779
"YDL052C","SLC1",-0.286562140785636,2.58443676635386,0.0638697349744802,0.104286338971193,4.18278843131881
"YKL007W","CAP1",-0.286971402713366,3.19477286784303,0.06398086676656,0.104434214542138,4.17868992297701
"YMR290C","HAS1",-0.411011334082011,2.18062378909164,0.0646012978851864,0.105385586153204,4.15633047492183
"YHR038W","RRF1",-0.681977136829058,1.89013982716074,0.064605224437756,0.105385586153204,4.15629866131823
"YDR200C","VPS64",-0.699233128776934,3.64726419996237,0.0649626824219505,0.105934650397773,4.14325766606672
"YBR035C","PDX3",-0.30771309590416,4.3692177799186,0.0650240169815703,0.10600062864604,4.14102460622714
"YDR020C","DAS2",0.505563748576716,0.36808510757774,0.0656625114359295,0.107007135132108,4.1220601048496
"YBR119W","MUD1",-0.538795881101586,2.86449636433781,0.0657017969056403,0.107036806123465,4.11704976943143
"YBR182C","SMP1",0.447479315049936,2.84187403254944,0.0662948017356631,0.107938192285735,4.09631426069861
"YDR496C","PUF6",-0.427806075706152,3.27040671446473,0.0662976017603796,0.107938192285735,4.09612064921711
"YNL218W","MGS1",0.382289089997287,2.20650758144653,0.0663329024367069,0.107961050824871,4.09501744033571
"YML074C","FPR3",-0.638707908292576,4.50635518092681,0.066367946088998,0.107983476526732,4.09362866337586
"YAR008W","SEN34",0.439447605228087,1.55708341221563,0.0664636511743167,0.108104554985003,4.09099697869081
"YPR152C","URN1",0.481235474370772,1.57626223336345,0.0665025951058266,0.108133262230992,4.08932062640453
"YNL271C","BNI1",0.383165482299267,5.98496572721968,0.0665792260438645,0.108223210579624,4.08626989355036
"YAL013W","DEP1",-0.478499098654206,1.94096579462768,0.0667036331099372,0.108363074885757,4.08216858675836
"YNR049C","MSO1",-0.516659402043228,1.4492450739753,0.0667079503924531,0.108363074885757,4.08220963914715
"YNL173C","MDG1",-0.311771071484003,3.93459573311995,0.066900911192515,0.108641773916083,4.07518906875228
"YER170W","ADK2",-0.651850762411781,0.560150509257168,0.0670384363946456,0.108830300515349,4.07254484001477
"YGL018C","JAC1",-0.441562912606658,1.32207378256593,0.0670786756759209,0.108860822972939,4.06948618868256
"YDR399W","HPT1",0.273274740363196,4.12935583336565,0.0673304156446138,0.109234457074552,4.06040536080326
"YDR059C","UBC5",-0.36010425379811,3.96358642064955,0.0673783692424256,0.109257967148798,4.05876282739768
"YGR020C","VMA7",-0.233853917161735,3.63250119491395,0.0673879387770848,0.109257967148798,4.05844605405345
"YHR032W","ERC1",0.423126546140306,2.79112391083725,0.0675375977898486,0.109465662807804,4.05339390316339
"YOR021C","SFM1",0.396202589186057,2.76901734709108,0.0678186398358758,0.10988610500529,4.04383902274974
"YPR016C","TIF6",0.462738592590992,3.70781630916179,0.0680168164279129,0.110172055445277,4.03706748222173
"YOL105C","WSC3",0.37619915477521,2.50527352935899,0.0682234809515773,0.11047156768881,4.03016303796498
"YOR059C","LPL1",0.282150100369078,3.83917744255515,0.0684509898531975,0.110804630690002,4.02243670021933
"YLR208W","SEC13",-0.261532006623729,3.60309899644685,0.0685355443307664,0.110906148537805,4.01960313722209
"YFL010C","WWM1",-0.409532996892464,2.06450915490203,0.0685915370818646,0.110961397037817,4.01791087858586
"YJR050W","ISY1",-0.428135165524744,2.5210401001741,0.0691801700617922,0.11187799476872,3.99819896444248
"YNL282W","POP3",0.529430779129005,0.302518777362087,0.069220502746669,0.111907581326834,4.00011530656792
"YOL141W","PPM2",0.945772992173182,1.17912784970297,0.0693894093441054,0.112144946101008,3.99358392371308
"YPR093C","ASR1",0.372535427733645,1.23800462234334,0.0694837501291779,0.112261687291112,3.98865220254485
"YPL213W","LEA1",0.368366151993077,2.70320352419287,0.0698609087072301,0.112828920741165,3.97576811092453
"YGL174W","BUD13",-0.717293120610657,1.86715003406141,0.0698792744645462,0.112828920741165,3.9753153132576
"YDL107W","MSS2",-0.4241995266931,1.64985872445606,0.0699136027441586,0.112848466222135,3.97424540558626
"YBL018C","POP8",-0.37203327844766,2.07982095123172,0.0701279535778579,0.113158483720484,3.96713297347882
"YOR229W","WTM2",0.344301773654919,2.51462625962408,0.0701725004876195,0.113194395640449,3.96561391560062
"YLR309C","IMH1",-0.890350063364744,4.85218311786915,0.0703061465257967,0.11334685817325,3.96117033269514
"YDL175C","AIR2",-0.310999329175457,2.38549645716004,0.0703116587722995,0.11334685817325,3.96111073602655
"YGL005C","COG7",0.436504279291241,2.26235373819572,0.0704940206289952,0.113604772057771,3.95527947800066
"YPR151C","SUE1",-0.545850431776381,3.85696032085339,0.0706339117396453,0.113794100194771,3.95058057781652
"YOR115C","TRS33",-0.344768994313924,2.41604226235739,0.0706779844977821,0.113828989939657,3.9492502425461
"YKR023W","RQT4",-0.6981314271537,3.26429515158249,0.0707269259669909,0.113871696277863,3.94759588281025
"YMR195W","ICY1",-0.622469235800815,4.76153333183746,0.0708603378391232,0.114039833407038,3.94325602302516
"YGR009C","SEC9",-0.509800087723024,4.71349827878743,0.0708819996268204,0.114039833407038,3.94255971697942
"YGL206C","CHC1",0.44600018528368,6.09656728278332,0.0708987306156003,0.114039833407038,3.94201451135385
"YPL195W","APL5",-0.295131052656573,3.88207382619147,0.0710047675501639,0.114174227238674,3.93863884814478
"YML124C","TUB3",-0.381840904041424,2.84006639920598,0.0710830948661135,0.114263993583452,3.93617374677742
"YAR023C","DFP1",0.658060755524995,0.374403075863535,0.071421711911399,0.114728331711434,3.92784583614136
"YJL014W","CCT3",-0.376051296256685,4.45646041129966,0.0714238394350747,0.114728331711434,3.92521992359789
"YLR186W","EMG1",-0.3719804342504,1.99260526864198,0.0714397370759264,0.114728331711434,3.92489482828949
"YGR203W","YCH1",-0.639415939136575,0.594688080138209,0.0715348443330924,0.114780276776283,3.92303709713741
"YDR063W","AIM7",-0.384789293097484,2.78856646452445,0.0715370533961072,0.114780276776283,3.92168232302443
"YCR007C","DFP3",0.588133621714818,0.666335260895654,0.0715398928706059,0.114780276776283,3.92294698591904
"YEL017W","GTT3",-0.459431591933867,1.21058493445427,0.0716193145599348,0.114840211613935,3.91949195456811
"YMR070W","MOT3",0.627959514390793,3.25144582819167,0.0716224793582776,0.114840211613935,3.91895101650084
"YML015C","TAF11",-0.444787716230226,1.65774294479222,0.0717506808424704,0.115009456224137,3.91510293363962
"YOL068C","HST1",-0.349016176915091,3.38930794674994,0.0719444555372028,0.115283668418402,3.90873373448269
