SRR10551657_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551658_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551659_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551660_trimmed_Aligned.sortedByCoord.out.bam	SRR10551661_trimmed_Aligned.sortedByCoord.out.bam	SRR10551662_trimmed_Aligned.sortedByCoord.out.bam	SRR10551663_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551664_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551665_1_trimmed_Aligned.sortedByCoord.out.bam
YNCB0004W	2	1	3	0	2	0	0	0	0
YNCB0005C	5	3	2	2	4	0	1	3	5
YBL014C	56	32	34	94	72	55	108	101	115
YBL013W	9	2	13	5	7	4	10	10	7
YBL011W	227	166	178	77	162	55	130	151	123
YBL010C	30	17	31	48	41	17	31	27	42
YBL009W	30	39	31	32	22	20	24	19	9
YBL008W-A	1	4	1	2	3	1	3	1	2
YBL008W	49	35	26	100	70	63	72	82	77
YBL007C	440	302	341	247	307	154	377	386	409
YBL006C	97	74	78	173	141	94	72	104	99
YBL005W	64	43	47	91	88	53	73	99	90
YBL005W-B	6	4	10	37	29	19	23	16	24
YBL005W-A	6	3	9	35	28	18	20	16	23
YNCB0006W	18	19	28	6	6	11	11	3	4
YBL004W	185	133	153	448	302	256	377	453	493
YBL003C	983	698	736	955	702	418	414	546	561
YBL002W	501	295	284	913	573	546	401	464	452
YBL001C	431	358	447	310	300	125	141	165	183
YBR001C	212	148	211	237	174	179	243	299	266
YBR002C	57	31	49	105	115	84	69	82	66
YBR003W	106	75	82	207	142	125	147	153	147
YBR004C	42	31	56	90	70	57	87	83	89
YBR005W	48	26	57	34	44	21	37	36	32
YBR006W	196	130	166	378	239	220	400	432	392
YBR007C	157	106	112	109	175	33	186	183	209
YBR008C	87	62	80	196	171	184	121	115	119
YBR009C	2060	1242	1200	1754	1245	671	340	461	534
YBR010W	1714	1115	1245	1937	1404	794	666	828	967
YBR011C	993	543	604	1289	968	919	597	678	624
YBR012W-B	1	5	2	3	4	2	5	1	4
YBR012W-A	0	3	1	2	2	1	2	0	2
YBR013C	15	8	7	54	29	10	24	25	28
YNCB0007W	4	2	1	2	1	2	0	0	0
YBR014C	130	68	83	138	142	51	53	54	75
YBR015C	190	118	141	250	185	153	182	196	208
YBR016W	179	96	122	58	93	50	56	56	39
YBR017C	84	60	52	145	102	110	121	101	112
YBR018C	6	10	8	8	9	2	10	22	14
YBR019C	17	19	14	10	24	17	33	39	34
YNCB0008W	31	33	22	15	37	23	64	65	51
YBR020W	7	17	4	7	14	6	21	16	13
YBR021W	50	20	26	97	78	52	89	120	73
YBR022W	42	21	29	118	102	42	40	64	49
YBR023C	102	69	73	241	125	174	147	162	152
YBR024W	334	255	305	206	240	88	101	158	181
YBR025C	630	472	497	1339	809	667	497	538	492
YBR026C	138	70	86	280	198	118	162	220	214
YBR027C	13	14	16	16	28	6	19	14	11
YBR028C	60	24	35	126	129	62	75	84	85
YBR029C	52	35	37	173	127	86	132	136	120
YBR030W	16	30	11	58	50	31	58	70	42
YBR031W	719	431	462	1773	941	1104	807	801	702
YBR032W	0	2	4	4	6	5	2	6	5
YBR033W	104	84	67	167	154	76	67	61	70
YBR034C	52	45	47	165	87	76	47	65	82
YBR035C	288	260	272	340	278	201	192	286	252
YNCB0009C	140	145	142	210	164	309	189	198	140
YNCB0010W	382	305	375	372	412	436	362	400	411
YBR036C	198	125	159	350	247	277	249	282	242
YBR037C	63	61	77	82	65	46	47	54	55
YBR038W	73	38	43	36	31	28	12	19	19
YBR039W	1160	888	1076	2138	1689	880	803	894	981
YBR040W	8	6	10	11	23	3	0	4	6
YBR041W	87	56	54	174	120	85	123	147	131
YBR042C	36	23	20	81	60	49	64	64	64
YBR043C	58	50	58	86	81	59	143	193	193
YBR044C	181	87	110	217	197	89	114	137	153
YNCB0011C	1	4	1	2	0	1	0	1	4
YBR045C	36	27	31	42	48	11	36	45	55
YBR046C	146	90	102	266	174	108	164	185	189
YBR047W	138	119	105	367	343	102	128	162	146
YBR048W	183	103	117	417	211	219	111	125	115
YBR049C	277	204	240	232	208	77	130	168	162
YBR050C	361	265	294	56	100	16	42	59	36
YBR052C	650	533	606	450	438	223	122	157	216
YBR053C	179	137	122	271	197	168	241	281	263
YBR054W	1213	757	848	6025	4690	2205	5562	6707	6126
YBR055C	109	82	101	132	218	65	130	145	150
YNCB0012W	8	11	7	6	1	6	5	3	4
YBR056W	466	370	440	383	290	209	236	328	332
YNCB0013W	3	5	4	3	4	0	4	2	1
YBR056W-A	13	9	21	80	54	65	17	20	23
YBR057C	163	81	92	81	87	18	49	71	76
YBR058C	96	58	44	145	117	77	140	153	136
YBR058C-A	115	70	82	137	140	34	53	81	96
YBR059C	477	341	396	240	261	113	372	408	428
YBR060C	76	46	45	99	100	29	43	51	71
YBR061C	37	18	11	62	52	30	28	48	37
YBR062C	59	49	64	81	105	36	51	67	67
YBR063C	93	43	58	102	96	29	105	141	125
YBR065C	73	46	60	120	75	38	114	143	150
YBR066C	23	20	19	37	57	12	13	33	27
YBR067C	48	38	54	477	403	197	122	146	131
YBR068C	91	48	65	465	395	324	87	94	104
YBR069C	29	28	30	85	74	66	27	27	21
YNCB0014W	27	32	29	91	90	71	27	31	23
YBR070C	43	24	28	60	44	41	41	41	41
YBR071W	65	41	29	109	91	89	31	56	44
YBR072W	5275	3842	4539	4386	7632	1896	247	372	233
YBR072C-A	17	11	17	5	7	3	3	8	6
YBR073W	155	108	146	173	146	101	63	113	92
YBR074W	107	69	46	260	130	133	178	235	238
YBR076W	38	34	40	16	21	16	22	34	35
YBR077C	63	42	46	89	92	58	49	70	67
YBR078W	570	369	401	1190	582	654	706	736	697
YBR079C	184	117	112	269	203	110	130	132	167
YBR080C	117	82	88	252	140	154	218	226	255
YBR081C	241	171	150	276	351	74	168	221	243
YNCB0015W	3	3	1	2	1	2	1	1	1
YNCB0016W	1	3	0	1	0	2	2	1	2
YBR082C	906	594	693	900	1282	245	249	349	347
YBR083W	70	53	53	35	52	18	22	31	36
YBR084W	89	49	73	281	172	169	76	101	90
YBR084C-A	699	426	406	1341	1016	552	538	711	709
