SRR10551657_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551658_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551659_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551660_trimmed_Aligned.sortedByCoord.out.bam	SRR10551661_trimmed_Aligned.sortedByCoord.out.bam	SRR10551662_trimmed_Aligned.sortedByCoord.out.bam	SRR10551663_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551664_1_trimmed_Aligned.sortedByCoord.out.bam	SRR10551665_1_trimmed_Aligned.sortedByCoord.out.bam
YNL141W	118	78	90	87	251	31	615	683	600
YNL140C	65	34	32	58	90	25	73	94	85
YNL139C	202	114	108	304	453	146	353	435	431
YNL138W-A	27	21	21	41	38	9	10	27	28
YNL138W	339	227	279	137	248	83	168	170	190
YNL137C	260	189	210	421	414	207	252	295	272
YNL136W	277	199	209	104	521	38	62	91	99
YNL135C	396	228	304	403	357	181	191	199	229
YNL134C	1598	1183	1376	1468	1721	920	469	549	533
YNL133C	211	123	133	90	314	26	66	83	98
YNCN0006W	2	0	1	1	2	0	0	0	0
YNL132W	121	87	70	133	223	55	79	89	82
YNL131W	170	113	75	354	276	119	90	124	134
YNL130C	64	39	34	243	193	156	187	221	220
YNL130C-A	6	1	2	7	11	2	14	23	29
YNL129W	36	29	27	48	58	13	112	158	169
YNL128W	13	13	11	14	31	7	19	43	32
YNL127W	65	37	46	64	81	46	102	117	121
YNL126W	64	43	39	96	140	35	48	64	78
YNL125C	340	284	317	382	420	240	340	408	370
YNL124W	56	33	32	75	118	20	78	98	101
YNL123W	224	190	169	256	255	193	222	261	214
YNL122C	87	57	61	74	78	29	23	22	44
YNL121C	1238	818	844	1003	935	307	408	508	542
YNL119W	64	35	38	111	113	35	54	59	67
YNL118C	362	257	283	291	322	95	237	297	345
YNL117W	926	529	614	1036	755	603	324	365	357
YNL116W	41	36	43	75	66	47	86	86	75
YNL115C	436	372	451	266	240	137	384	495	451
YNL113W	93	65	54	163	168	62	32	42	50
YNL112W	88	54	46	151	59	73	178	238	192
YNL111C	16	17	21	138	87	43	137	155	178
YNL110C	161	93	112	110	193	22	59	68	73
YNL108C	52	38	54	50	92	28	58	63	63
YNL107W	57	37	29	92	107	25	53	51	58
YNL106C	44	34	26	38	69	30	61	81	63
YNL104C	1167	842	955	1484	1192	1053	804	729	609
YNL103W	643	519	579	158	333	47	134	175	201
YNL102W	165	87	123	190	311	94	127	149	163
YNL101W	138	76	74	453	319	304	853	902	874
YNL100W	243	182	197	407	355	118	158	219	200
YNL099C	90	69	69	104	143	39	62	69	90
YNL098C	437	380	584	340	411	153	232	250	207
YNL097C-B	5	1	0	3	4	4	2	0	5
YNL097C	119	81	120	129	160	58	82	97	93
YNCN0007W	14	9	6	3	8	3	3	2	4
YNL096C	277	144	177	511	421	239	169	152	202
YNL095C	37	28	22	49	76	47	63	60	66
YNL094W	85	48	62	101	158	58	107	109	103
YNL093W	33	21	28	44	68	17	36	55	47
YNL092W	39	37	24	42	80	23	52	75	82
YNL091W	600	485	507	274	742	119	301	395	427
YNL090W	32	25	17	83	73	40	31	45	44
YNL088W	375	247	240	408	540	103	229	288	289
YNL087W	132	91	92	198	249	87	214	272	296
YNL086W	34	13	16	26	22	11	20	21	26
YNL085W	115	64	72	280	227	130	196	251	264
YNL084C	285	202	243	252	248	44	128	151	175
YNL083W	65	43	39	97	68	47	92	98	84
YNL082W	74	50	44	117	182	36	58	75	82
YNL081C	198	122	140	246	252	64	76	85	97
YNL080C	76	59	53	83	97	44	92	83	96
YNL079C	1365	1064	1239	997	1192	249	236	375	456
YNL078W	48	49	49	45	54	29	48	55	37
YNL077W	307	261	255	315	455	189	171	207	181
YNL076W	83	54	58	102	140	40	106	101	111
YNL075W	32	30	26	86	66	34	37	52	47
YNL074C	169	105	148	161	171	104	401	426	391
YNL073W	204	136	175	179	201	154	167	215	165
YNL072W	24	17	20	17	46	14	16	13	13
YNL071W	310	227	255	430	334	216	205	186	176
YNL070W	316	211	275	209	251	114	68	78	95
YNL069C	309	162	144	1084	663	637	299	359	342
YNL068C	115	53	72	158	179	62	119	162	150
YNL067W-B	6	3	4	2	20	0	2	1	3
YNL067W	240	119	122	987	447	611	216	241	273
YNL066W	85	51	86	180	164	99	75	52	64
YNL065W	41	29	28	99	81	53	180	203	210
YNL064C	555	372	492	975	794	411	468	543	519
YNL063W	64	44	29	63	89	31	46	75	68
YNL062C	36	21	28	41	71	24	22	29	25
YNL061W	125	72	93	109	165	56	80	110	96
YNL059C	303	200	220	157	357	50	91	110	128
YNL058C	61	41	32	35	46	14	24	31	23
YNL056W	42	30	29	70	76	27	49	56	57
YNL055C	3140	2279	2542	2693	2207	1585	1151	1271	1111
YNCN0008C	1	0	1	1	3	0	1	1	0
YNL054W-B	28	20	20	33	135	7	24	33	42
YNL054W-A	9	4	4	1	41	1	2	4	6
YNL054W	112	96	91	194	219	65	200	241	259
YNL053W	47	25	36	109	104	80	77	77	73
YNL052W	902	615	735	3774	3298	2477	1073	1237	1196
YNL051W	85	77	67	87	120	21	35	44	47
YNL050C	124	90	95	83	164	8	53	40	48
YNL049C	46	34	32	98	113	62	119	143	138
YNL048W	69	45	55	140	131	56	97	113	117
YNL047C	39	24	28	86	100	38	37	60	54
YNL046W	46	38	35	41	33	21	24	22	18
YNL045W	133	83	102	119	141	60	111	117	89
YNL044W	89	53	51	217	163	193	95	105	115
YNCN0009W	21	14	13	20	13	14	12	13	4
YNL042W-B	26	15	15	21	16	14	18	18	7
YNL042W	30	29	37	34	62	19	54	68	72
YNL041C	71	46	66	153	166	63	111	152	136
YNL040W	14	11	13	26	36	7	39	43	42
YNL039W	359	253	295	170	289	49	124	193	181
YNL038W	38	34	28	79	76	29	39	57	47
YNL037C	1610	1200	1407	1962	1472	1091	546	595	593
YNL036W	1211	769	825	1410	1273	493	66	112	111
YNCN0010C	0	0	0	1	10	0	0	0	1
YNCN0011W	20	18	13	26	16	19	8	10	6
YNL035C	27	13	14	35	42	9	16	21	16
YNCN0012C	3	0	1	1	0	1	0	2	0
YNL034W	13	18	18	14	50	7	18	9	13
YNL033W	13	12	9	16	44	21	18	16	15
YNL032W	44	27	34	103	86	38	58	75	74
YNL031C	1456	912	889	2934	2433	1365	925	1134	1230
YNL030W	1469	896	843	2027	1424	767	278	337	391
YNL029C	63	48	64	138	161	73	118	154	133
YNL027W	119	81	84	129	139	52	104	119	144
YNL026W	86	45	58	137	124	61	60	65	47
YNL025C	21	15	16	50	37	33	37	36	40
YNCN0013W	464	372	375	1014	1290	2074	745	690	953
YNCN0014W	28	20	34	30	25	27	29	33	16
YNL024C-A	48	24	24	119	73	96	64	76	80
YNL024C	31	19	28	15	34	8	16	24	17
YNL023C	63	52	50	138	193	80	177	173	220
YNL022C	59	31	40	138	143	94	79	107	90
YNL021W	62	38	37	140	150	76	98	120	108
YNL020C	70	54	42	107	131	91	102	120	118
YNL019C	15	14	12	20	44	21	19	19	19
YNL018C	15	16	15	9	42	9	16	11	17
YNCN0015W	3	0	0	0	2	0	0	1	0
YNL016W	390	303	311	393	379	156	228	279	303
YNL015W	1266	802	850	1254	1664	382	467	571	664
YNL014W	397	306	411	80	120	66	99	103	111
YNL012W	58	36	46	23	82	14	25	37	33
YNL011C	66	42	58	92	110	44	90	123	115
YNL010W	196	119	131	334	223	179	138	209	194
YNL009W	47	34	25	69	57	17	69	98	72
YNL008C	88	44	75	122	147	53	102	137	118
YNL007C	3160	2492	2951	803	1552	283	457	600	561
YNL006W	105	59	73	199	231	109	78	80	79
YNL005C	312	232	235	514	460	189	185	248	257
YNL004W	130	126	152	212	189	116	143	161	159
YNL003C	28	27	26	46	40	28	53	48	47
YNL002C	277	164	183	268	281	57	93	103	119
YNL001W	122	83	82	129	102	24	53	61	62
YNR001C	2494	1620	1741	3927	3141	2247	912	1087	1087
YNCN0016C	1	0	1	0	1	3	2	2	5
YNCN0017W	6	2	2	0	1	0	1	2	5
YNR002C	103	72	92	30	59	22	82	80	73
YNR003C	40	14	16	38	41	26	39	46	49
YNR004W	23	9	10	30	22	19	19	35	26
YNR006W	186	132	139	195	172	67	99	128	139
YNR007C	61	43	36	89	86	45	80	88	104
YNR008W	56	31	35	71	85	46	61	54	83
YNR009W	43	20	36	54	65	21	40	40	33
YNR010W	42	37	32	56	57	19	10	18	28
YNR011C	57	31	43	85	85	34	71	88	96
YNR012W	51	27	26	119	74	49	146	158	147
YNR013C	149	68	86	99	120	62	108	150	136
YNR014W	152	102	141	37	45	17	48	56	64
YNR015W	35	15	21	50	47	21	24	24	18
YNR016C	574	413	439	2226	1324	1617	1600	1724	1644
YNR017W	185	139	146	97	137	46	84	70	69
YNR018W	527	336	438	479	485	276	282	279	311
YNR019W	101	68	83	72	83	50	200	223	172
YNR020C	57	48	41	101	135	39	46	73	69
YNR021W	117	77	91	192	172	88	47	51	64
YNR022C	254	173	190	192	238	51	29	38	61
YNR023W	70	45	66	99	92	30	58	65	57
YNR024W	130	87	110	68	151	11	30	45	48
YNR026C	25	21	14	130	83	60	44	47	50
YNR027W	13	5	17	26	35	18	15	16	15
YNR028W	141	113	103	150	117	40	58	65	74
YNR029C	69	41	49	91	69	37	55	60	73
YNR030W	103	67	64	169	113	65	100	117	84
YNR031C	153	115	107	290	213	164	298	367	332
YNR032W	50	30	35	72	59	44	56	66	54
YNR032C-A	67	29	46	77	78	39	46	59	61
YNR033W	53	34	51	97	70	77	85	110	100
YNR034W	76	52	67	56	51	27	77	97	83
YNR034W-A	14979	13371	15342	6877	14321	1996	173	222	282
YNR035C	204	158	162	199	196	69	117	140	188
YNR036C	363	261	315	397	325	278	228	271	220
YNR037C	81	47	53	44	75	26	20	37	33
YNR038W	44	33	21	81	52	34	66	73	69
YNR039C	66	39	34	74	72	32	44	49	67
YNR040W	38	23	21	45	45	20	27	26	20
YNR041C	39	21	35	103	74	74	65	57	75
YNR043W	46	27	33	206	177	131	199	194	191
YNR044W	24	29	18	59	58	24	52	45	53
YNR045W	197	144	177	175	191	65	124	166	138
YNR046W	40	18	34	44	64	22	33	30	22
YNR047W	176	147	131	203	186	118	279	325	307
YNR048W	27	13	13	52	34	21	38	36	41
YNR049C	40	24	31	60	61	13	25	24	33
YNR050C	244	139	132	262	176	133	93	97	104
YNCN0018W	5	5	6	52	56	62	220	171	181
YNR051C	911	718	792	270	591	67	199	205	245
YNR052C	78	47	33	89	58	56	99	121	101
YNR053C	55	41	30	143	90	94	108	104	124
YNCN0019C	27	44	36	100	110	132	70	61	66
YNR054C	73	45	52	56	95	9	25	32	31
YNCN0020C	4	8	8	4	1	2	5	3	3
YNR055C	105	85	87	212	178	113	256	278	237
YNR056C	40	18	31	24	47	13	37	43	51
YNR057C	10	5	7	13	15	13	7	7	10
YNR058W	12	11	5	14	20	13	12	15	15
YNR059W	16	8	20	74	53	45	44	66	44
YNR060W	11	10	9	15	22	3	10	15	10
YNR061C	25	11	12	107	76	78	52	73	58
YNR062C	2	3	4	30	21	10	24	22	16
YNR063W	28	12	24	40	31	27	47	53	44
YNR064C	68	47	56	54	36	44	25	22	21
YNR065C	108	85	97	287	198	211	113	146	104
YNR066C	53	48	39	102	41	72	45	34	40
YNR067C	448	349	372	391	357	256	77	79	82
YNR068C	86	73	57	218	285	68	94	129	129
YNR069C	57	33	42	312	158	150	91	132	122
YNR070W	43	21	35	43	61	31	58	58	67
YNR071C	3266	2806	3240	448	694	230	18	13	19
YNR072W	2290	2253	2494	1816	2100	1081	36	49	52
YNR073C	5308	4446	5322	2439	4675	1270	20	20	26
YNR074C	97	87	73	3	0	1	1	0	0
YNR075W	15	12	14	1	6	1	0	0	1
YNR075C-A	3	0	0	0	0	1	0	0	0
YNR076W	26	6	12	7	11	2	22	14	14
YNR077C	4	4	5	3	9	0	3	4	4
YOL166W-A	1	1	0	1	0	0	0	1	0
YOL165C	28	16	17	160	131	95	7	21	18
YOL164W-A	0	0	0	0	0	0	0	0	0
YOL164W	0	1	3	1	0	0	1	0	0
YOL163W	0	0	0	0	0	0	0	1	0
YOL162W	0	0	0	0	0	0	0	0	0
YOL161C	11	0	7	5	4	0	7	11	1
YOL160W	4	2	4	0	0	0	0	0	0
YOL159C-A	32	30	26	1	0	0	0	0	0
YOL159C	54	38	34	1	0	0	0	0	2
YOL158C	21	14	24	0	0	0	0	0	0
YOL157C	14	11	11	5	18	10	12	21	18
YOL156W	7	6	3	0	0	1	2	0	1
YOL155W-A	0	0	0	0	2	1	0	0	0
YOL155C	610	394	442	1330	1459	1176	1223	1242	1308
YOL154W	6	6	11	10	22	5	37	31	39
YOL153C	113	74	93	110	86	76	206	220	183
YOL152W	46	32	17	73	43	32	140	172	160
YOL151W	501	300	312	947	575	739	601	745	666
YOL149W	58	42	28	120	98	25	34	46	75
YOL148C	111	73	57	121	128	41	65	82	89
YOL147C	75	50	54	175	126	135	190	165	161
YOL146W	35	26	34	32	39	19	22	28	28
YOL145C	249	178	189	291	340	67	154	193	227
YOL144W	74	52	71	53	64	13	33	34	33
YOL143C	192	124	147	211	168	113	124	149	145
YOL142W	65	40	49	141	137	69	55	67	74
YOL141W	10	12	4	47	12	47	41	30	43
YOL140W	145	144	136	197	157	116	92	80	77
YOL139C	184	134	103	419	331	199	149	206	259
YOL138C	150	111	108	166	206	85	346	456	464
YOL137W	39	29	32	150	98	59	103	119	143
YOL136C	75	40	40	247	123	134	384	420	370
YOL135C	39	40	24	31	46	16	21	21	23
YOL133W	71	45	43	147	105	85	53	61	63
YOL132W	27	23	16	31	28	16	66	68	77
YOL131W	6	4	1	16	6	8	24	20	28
YOL130W	54	37	43	145	74	75	189	243	223
YOL129W	211	144	177	247	179	200	249	213	191
YOL128C	61	37	33	83	76	64	649	685	655
YOL127W	799	492	457	1716	1241	698	563	704	741
YOL126C	64	51	46	193	145	119	516	681	598
YOL125W	81	52	47	61	82	45	59	70	84
YOL124C	21	19	19	49	41	21	14	21	18
YOL123W	805	585	634	490	411	125	222	271	292
YOL122C	113	75	78	156	126	97	142	155	150
YOL121C	347	258	266	681	442	342	175	202	212
YOL120C	527	299	321	904	646	425	310	301	277
YOL119C	147	75	62	327	219	180	213	254	188
YOL118C	9	7	11	31	28	26	22	28	32
YOL117W	52	24	33	118	52	62	81	109	88
YOL116W	63	36	49	100	108	56	73	86	85
YOL115W	178	115	142	116	166	49	100	105	111
YOL114C	38	33	38	13	33	5	18	15	13
YOL113W	104	56	81	131	108	59	174	194	220
YOL112W	126	86	91	161	147	70	86	130	92
YOL111C	110	51	88	116	92	53	49	55	66
YOL110W	7	9	12	22	8	24	8	12	7
YOL109W	2802	2158	2445	1540	2286	359	298	380	511
YNCO0001C	2	5	17	1	0	4	1	2	2
YOL108C	121	68	71	113	126	32	60	85	96
YOL107W	11	11	8	63	31	33	33	26	27
YNCO0002W	0	0	2	1	0	0	0	0	0
YOL105C	72	44	51	82	67	63	96	89	81
YOL104C	8	4	6	12	9	3	9	5	6
YOL103W-B	2	2	3	1	0	0	1	1	1
YOL103W-A	0	0	0	0	0	0	1	0	0
YOL103W	73	46	60	133	150	67	108	110	117
YOL102C	39	14	16	48	43	18	35	42	47
YOL101C	14	8	10	5	13	1	24	23	15
YOL100W	388	305	298	322	391	67	248	339	349
YOL098C	89	60	54	222	110	100	133	161	145
YNCO0003C	5	10	4	1	3	2	1	3	1
YOL097W-A	0	3	3	2	6	3	0	2	0
YOL097C	58	44	38	166	106	88	95	89	104
YOL096C	82	77	92	108	89	64	110	124	121
YOL095C	19	17	14	46	35	16	31	32	34
YOL094C	26	24	25	72	48	30	23	18	32
YOL093W	32	11	19	79	47	21	15	27	23
YOL092W	87	46	57	178	113	118	200	159	160
YOL091W	15	15	12	14	36	1	7	9	11
YOL090W	44	30	35	121	80	56	34	47	40
YOL089C	102	70	62	186	125	85	148	161	134
YOL088C	79	42	54	86	89	37	63	76	76
YOL087C	314	218	218	266	273	123	292	399	375
YOL086W-A	122	81	91	128	98	77	51	61	60
YOL086C	602	425	562	1118	1129	628	3091	3074	2838
YOL085C	2	3	1	7	5	2	19	22	16
YOL084W	133	106	109	60	85	72	106	108	120
YOL083W	101	51	61	102	90	48	104	148	119
YOL082W	228	136	162	305	208	136	320	426	425
YOL081W	1505	1069	1074	1219	1144	778	1310	1430	1282
YOL080C	25	19	20	46	48	15	20	22	29
YOL078W	135	102	90	179	144	73	165	170	192
YOL077W-A	2067	1509	1838	944	1385	269	191	307	368
YOL077C	83	50	57	139	77	44	39	64	64
YOL076W	74	57	34	88	61	34	50	61	62
YOL075C	86	52	76	126	81	78	231	252	246
YOL073C	64	46	59	52	52	32	35	48	32
YOL072W	32	22	21	77	57	50	52	66	58
YOL071W	144	100	100	171	112	75	112	103	87
YOL070C	57	37	41	90	82	35	45	60	60
YOL069W	91	68	109	34	76	17	49	59	60
YOL068C	196	141	138	149	185	52	105	130	118
YOL067C	27	22	14	29	21	26	20	28	36
YOL066C	87	56	51	116	111	68	60	92	86
YOL065C	33	30	22	82	64	26	70	74	83
YOL064C	279	163	203	337	251	257	160	195	161
YOL063C	78	36	51	100	95	77	108	95	121
YOL062C	83	54	48	183	95	101	142	136	147
YOL061W	63	43	51	195	116	122	197	187	169
YOL060C	232	167	185	322	254	109	173	242	264
YOL059W	132	82	126	125	82	57	263	291	237
YOL058W	692	434	454	1185	836	689	294	277	292
YOL057W	58	42	47	173	107	80	112	136	111
YOL056W	10	7	6	28	27	14	44	43	35
YOL055C	85	78	72	69	70	50	208	271	254
YNCO0004C	1	1	4	2	1	0	0	4	2
YNCO0005W	5	1	2	0	1	0	1	1	5
YOL054W	70	42	50	112	120	50	70	79	86
YOL053W	44	47	56	87	70	31	25	32	37
YOL052C-A	2127	1317	1465	598	908	214	1339	1539	1290
YOL052C	45	32	23	105	69	55	42	67	54
YNCO0006W	47	48	93	145	168	243	198	126	220
YOL051W	365	253	289	323	328	119	437	532	519
YOL049W	96	62	71	251	160	155	69	103	94
YOL048C	100	88	96	46	67	28	41	68	72
YOL047C	2	4	7	6	5	1	2	5	3
YOL045W	121	98	93	119	90	40	133	151	155
YOL044W	43	22	20	91	84	39	69	106	91
YOL043C	29	30	21	50	42	21	29	44	43
YOL042W	29	20	18	83	63	44	77	86	72
YOL041C	102	61	50	136	123	19	57	53	76
YOL040C	556	330	380	961	665	633	357	383	331
YOL039W	282	126	162	335	203	227	92	124	135
YOL038C-A	1	5	5	5	9	2	1	6	3
YOL038W	524	395	511	409	523	187	152	242	227
YOL036W	341	219	236	488	482	308	430	507	456
YNCO0007W	10	12	9	13	14	22	16	15	18
YOL034W	122	94	93	169	188	55	100	136	132
YOL033W	63	34	34	61	66	36	30	61	45
YOL032W	310	246	304	154	220	61	95	140	112
YOL031C	40	32	38	147	146	48	42	61	59
YOL030W	281	204	210	647	393	494	808	859	766
YOL029C	38	32	28	38	75	14	29	38	27
YOL028C	20	8	6	31	25	9	12	13	11
YOL027C	636	476	509	303	457	119	175	189	201
YOL026C	124	102	118	112	110	42	73	95	102
YNCO0008W	15	14	10	7	4	10	1	2	6
YOL025W	78	53	73	85	65	47	92	85	82
YOL024W	13	4	7	7	12	4	9	20	10
YOL023W	118	88	102	128	200	52	85	106	88
YOL022C	46	32	37	128	69	48	83	93	83
YNCO0009W	1	4	1	0	0	2	1	2	2
YOL021C	76	61	92	147	107	81	109	120	119
YOL020W	6	4	4	12	15	12	7	15	11
YNCO0010W	3	4	8	3	1	3	0	1	1
YOL019W-A	1	1	0	1	0	0	0	0	1
YOL019W	34	22	31	94	51	33	95	105	104
YOL018C	69	53	51	127	94	51	53	70	74
YOL017W	41	27	27	73	45	17	25	34	27
YOL016C	301	239	264	299	281	169	158	224	210
YOL015W	15	19	17	31	34	8	58	73	62
YOL014W	5	3	6	8	4	2	15	11	11
YNCO0011W	29	13	14	7	11	14	1	2	4
YOL013C	150	96	106	169	175	86	120	130	126
YOL012C	113	75	97	161	130	98	72	67	67
YOL011W	249	160	214	274	247	174	232	284	196
YOL010W	45	23	14	89	79	42	28	40	27
YOL009C	37	17	24	54	41	22	28	36	41
YOL008W	23	13	17	23	25	17	11	15	14
YOL007C	22	17	15	50	17	22	11	10	11
YOL006C	577	403	451	297	485	78	170	216	244
YOL005C	140	95	120	84	84	33	51	62	42
YOL004W	215	156	166	296	264	153	248	302	297
YOL003C	31	15	26	72	54	42	68	66	77
YOL002C	54	46	61	173	148	130	528	545	522
YOL001W	51	39	36	104	77	44	76	81	68
YOR001W	56	41	39	108	82	64	99	102	101
YOR002W	120	67	61	244	148	150	271	270	277
YOR003W	69	44	30	152	116	95	285	311	297
YOR004W	58	41	34	45	70	19	38	28	49
YOR005C	90	71	59	86	86	47	149	203	145
YOR006C	83	46	70	108	86	61	141	175	155
YOR007C	690	445	551	1231	1027	620	518	632	639
YNCO0012C	5	7	3	9	3	4	3	3	3
YOR008C	149	88	90	337	247	152	199	281	263
YOR008C-A	7	4	3	9	9	2	5	5	5
YOR009W	26	10	23	48	30	9	97	95	83
YOR010C	29	19	26	35	24	14	63	71	68
YOR011W	31	13	18	65	47	44	91	106	96
YNCO0013C	1	1	2	1	0	0	0	0	0
YOR011W-A	1	0	0	0	0	0	2	2	6
YOR012W	9	6	5	8	7	2	12	9	5
YOR014W	394	263	301	391	394	182	354	424	371
YOR015W	206	173	203	98	124	30	80	111	93
YOR016C	79	48	57	150	100	76	74	88	107
YOR017W	73	59	48	110	109	43	68	74	106
YOR018W	86	46	61	68	85	42	104	108	117
YOR019W	203	153	187	28	70	15	66	84	69
YOR020C	1113	846	851	856	933	441	196	236	261
YOR020W-A	304	204	231	201	190	92	160	226	248
YOR021C	77	33	47	185	96	58	98	106	113
YOR022C	74	55	66	102	78	38	64	58	75
YOR023C	216	176	225	130	154	51	128	169	172
YOR025W	31	19	27	21	29	22	12	21	14
YOR026W	45	26	28	49	42	30	38	41	33
YOR027W	1118	787	1013	570	669	257	283	365	408
YOR028C	47	38	37	89	109	34	56	80	85
YOR029W	4	3	1	1	2	0	2	4	0
YOR030W	106	63	80	196	113	66	217	264	281
YOR031W	2138	1787	2362	1265	2034	464	473	551	559
YOR032C	152	96	131	166	192	54	265	305	289
YOR032W-A	46	44	48	16	24	8	39	36	35
YOR033C	197	165	169	137	137	59	170	158	149
YOR034C	135	81	96	127	110	93	185	202	175
YOR034C-A	34	21	16	17	19	8	23	37	26
YOR035C	115	85	97	193	119	140	194	231	235
YOR036W	259	184	228	253	271	116	224	269	285
YOR037W	61	44	52	77	79	22	57	52	46
YOR038C	73	58	60	85	92	62	58	58	54
YOR039W	150	87	112	246	231	112	145	185	174
YOR040W	69	40	53	116	96	62	146	155	134
YNCO0014C	1028	1128	1271	1361	938	2226	2672	2221	2849
YOR042W	146	87	118	100	149	52	89	101	114
YNCO0015C	73	50	61	24	26	19	19	17	17
YOR043W	179	121	116	183	190	85	167	164	189
YOR044W	142	80	90	143	177	65	221	280	279
YOR045W	492	351	442	373	444	192	118	140	162
YOR046C	120	60	61	188	122	59	86	96	108
YOR047C	20	17	12	46	50	20	218	274	288
YOR048C	271	190	206	284	272	123	293	326	354
YOR049C	213	216	225	121	118	80	137	131	122
YOR051C	193	131	116	330	263	133	304	397	413
YOR052C	1642	1137	1309	881	1068	402	595	743	794
YOR054C	391	319	382	217	290	81	263	354	375
YOR056C	108	96	114	112	114	42	127	153	135
YOR057W	165	100	105	146	139	52	130	134	141
YOR058C	157	133	101	503	456	157	112	143	148
YNCO0016W	8	12	6	7	5	5	7	11	9
YOR059C	187	159	207	185	172	87	189	251	211
YOR060C	11	14	9	44	14	18	25	30	21
YOR061W	148	93	74	227	219	80	108	127	136
YOR062C	26	30	27	47	39	22	94	103	89
YOR063W	409	272	278	552	473	348	337	330	354
YOR064C	126	84	96	167	232	55	75	94	101
YOR065W	1890	1456	1809	535	1082	241	255	324	310
YOR066W	104	59	65	131	121	49	143	145	125
YOR067C	39	30	29	218	119	132	164	201	173
YOR069W	79	54	53	81	116	46	57	73	66
YOR068C	9	3	4	6	9	5	10	9	9
YOR070C	83	49	74	108	98	63	108	128	102
YOR071C	36	22	18	55	29	22	78	71	83
YOR072W	5	3	2	2	1	1	9	4	5
YNCO0017W	11	10	4	11	14	10	4	3	8
YOR072W-B	13	10	7	10	14	10	4	3	8
YOR073W	47	46	27	39	52	11	19	28	17
YOR074C	50	35	28	63	52	22	22	17	28
YOR075W	123	96	89	149	164	31	48	82	96
YOR076C	62	44	50	137	71	24	76	94	98
YOR077W	10	11	6	20	17	12	8	15	21
YOR078W	102	58	73	91	172	14	23	39	45
YOR079C	9	13	12	49	34	42	34	26	33
YOR080W	62	56	61	77	84	24	50	52	90
YOR081C	64	36	31	42	56	32	109	110	90
YOR083W	45	32	29	24	38	4	21	30	37
YOR084W	40	34	46	31	36	26	22	31	22
YOR085W	181	110	145	343	266	209	234	258	227
YOR086C	955	602	749	895	773	440	812	929	939
YNCO0018W	3	2	1	0	2	0	1	1	6
YOR087W	48	49	40	136	83	55	64	67	72
YOR089C	447	306	359	374	492	104	242	346	331
YOR090C	64	59	48	119	101	68	148	120	153
YOR091W	73	57	77	55	82	27	70	75	70
YOR092W	323	207	279	179	161	100	729	773	612
YOR093C	48	50	35	169	93	91	152	214	193
YOR094W	38	27	23	79	66	15	34	42	44
YOR095C	43	22	11	103	46	53	17	19	23
YOR096W	305	212	186	837	436	430	220	271	271
YOR097C	62	42	53	97	82	36	68	81	75
YOR098C	195	111	124	172	140	119	210	246	213
YOR099W	326	220	245	720	424	504	459	527	463
YOR100C	27	20	21	39	50	39	103	96	83
YOR101W	17	15	14	53	51	21	22	28	36
YOR103C	161	86	111	173	177	87	88	113	106
YOR104W	51	38	39	65	80	27	20	36	25
YOR105W	16	18	13	27	31	14	12	17	9
YOR106W	80	69	67	67	80	23	42	65	74
YOR107W	71	51	48	97	79	29	151	172	137
YOR108W	71	49	54	57	35	34	35	38	41
YOR109W	102	69	66	131	92	92	175	216	204
YOR110W	65	60	48	100	93	34	53	76	48
YOR111W	33	23	19	88	69	34	29	49	44
YOR112W	60	25	35	80	45	28	57	59	69
YOR113W	137	98	96	113	164	53	201	219	239
YOR114W	30	23	35	46	34	17	23	25	16
YOR115C	64	39	43	147	116	47	49	54	73
YOR116C	98	60	69	286	210	252	366	362	392
YOR117W	383	270	303	479	300	262	255	284	246
YOR118W	121	91	117	162	148	75	122	152	168
YOR119C	176	122	153	118	148	44	84	101	98
YOR120W	394	315	397	438	445	211	467	620	544
YOR122C	551	354	390	551	496	312	427	523	495
YOR123C	340	285	290	199	368	60	126	193	203
YOR124C	492	387	427	372	361	135	393	474	472
YOR125C	146	104	129	145	130	72	104	144	146
YOR126C	45	31	30	31	21	16	29	44	33
YOR127W	102	73	72	105	111	60	152	176	198
YOR128C	139	86	110	332	194	141	91	85	104
YOR129C	32	18	9	45	36	35	62	63	76
YOR130C	53	36	28	89	77	54	44	56	47
YNCO0019W	6	7	5	4	1	2	3	0	2
YOR131C	103	70	90	69	91	32	33	37	37
YOR132W	197	138	155	111	102	41	101	111	103
YOR133W	1157	604	619	3800	1669	2908	2838	2996	2500
YOR134W	53	39	28	33	40	25	12	31	25
YOR136W	1596	1071	1267	1888	1522	1025	614	727	684
YOR137C	103	59	56	119	99	95	162	192	163
YOR138C	126	75	109	148	151	103	121	157	128
YOR140W	54	53	53	59	70	49	124	131	139
YOR141C	211	127	148	284	202	98	147	187	186
YOR142W	328	217	248	813	514	507	373	401	355
YNCO0020C	59	40	38	28	27	23	18	17	19
YOR142W-B	0	1	3	3	0	0	1	2	1
YOR142W-A	0	0	2	1	0	0	1	0	0
YOR143C	33	31	23	125	88	44	37	43	53
YOR144C	26	17	18	73	45	32	35	50	45
YOR145C	117	77	73	195	163	80	115	168	147
